"Distribution of the population by gender and educational standard (persons) by Settlement type, Gender, Age groups, Region, Year, Contents and Educational standard",,,,,,
,2001(05.12),,,,,
,"Population - total, persons",,,,,
,complete higher education,higher education,incomplete higher education,complete secondary education,secondary education,basic general education
Urban settlements and rural area,,,,,,
Both genders,,,,,,
Population of 10 years old and over,,,,,,
Avtonomna Respublika Krym,234 856,17 157,369 689,585 233,294 670,255 256
Vinnytska oblast,154 251,6 011,257 196,528 006,289 537,276 809
Volynska oblast,93 540,5 811,151 821,326 744,134 298,163 113
Dnipropetrovska oblast,460 147,36 426,726 873,1 038 573,490 277,430 767
Donetska oblast,530 192,23 330,931 355,1 532 269,731 963,582 848
Zhytomyrska oblast,109 247,6 753,195 197,478 954,203 839,190 649
Zakarpatska oblast,88 225,6 342,138 615,428 842,221 459,180 759
Zaporizka oblast,240 956,10 188,321 224,630 584,284 328,231 670
Ivano-Frankivska oblast,128 554,5 399,184 270,443 049,209 362,203 046
Kyivska oblast,186 761,9 611,281 486,591 925,274 097,255 086
Kirovohradska oblast,104 399,2 530,186 008,377 672,167 751,141 804
Luhanska oblast,257 824,5 498,423 273,881 561,381 945,313 161
Lvivska oblast,314 344,17 605,348 733,861 889,330 165,387 434
Mykolaivska oblast,142 288,6 666,198 585,403 762,197 068,161 313
Odeska oblast,333 961,29 558,387 195,706 632,384 984,316 025
Poltavska oblast,176 493,5 849,260 557,530 221,251 603,205 359
Rivnenska oblast,100 368,4 524,142 924,380 267,161 980,162 291
Sumska oblast,129 714,4 927,200 439,433 701,182 749,173 484
Ternopilska oblast,109 644,7 320,157 183,338 876,164 903,183 148
Kharkivska oblast,469 731,25 447,429 166,933 602,405 367,318 909
Khersonska oblast,120 069,5 712,190 467,353 174,192 968,160 652
Khmelnytska oblast,126 068,6 670,205 518,457 484,213 019,209 896
Cherkaska oblast,137 487,7 984,224 202,450 337,203 273,184 553
Chernivetska oblast,74 348,3 955,103 267,283 939,175 413,126 714
Chernihivska oblast,113 918,3 473,181 121,387 058,212 243,183 098
misto Kyiv,642 952,41 959,444 876,772 369,206 640,195 841
Sevastopol (miskrada),77 855,2 542,74 195,113 166,38 967,33 067
Footnote: ,,,,,,
In some cases small deviations of the results from the sum of constituents are explained by rounding the data and also due to the persons which did not respond to certain questions of the census questionnaire.,,,,,,
,,,,,,
Extra notes:,,,,,,
The list of settlements of administrative-territorial division (variable Region) is presented in transliteration.,,,,,,
,,,,,,
The English version of some transliterated Ukrainian words is presented below:,,,,,,
Region = rehion / oblast,,,,,,
City = misto (m.),,,,,,
Council (municipality) = rada,,,,,,
City council = miskrada,,,,,,
